ensemble,precision,recall,f-beta,al-step,threshold
disjunction,0.06201550387596899,1.0,0.1167883211678832,0,0
majority-vote,0.06201550387596899,1.0,0.1167883211678832,0,0.0
majority-vote,0.7777777777777778,0.875,0.823529411764706,0,0.2
majority-vote,0.0,0.0,0.0,0,0.4
majority-vote,0.0,0.0,0.0,0,0.6
majority-vote,0.0,0.0,0.0,0,0.8
weighted-vote,0.06837606837606838,1.0,0.128,0,0
weighted-vote,0.06201550387596899,1.0,0.1167883211678832,1,0
weighted-vote,0.06779661016949153,1.0,0.12698412698412698,2,0
weighted-vote,0.06837606837606838,1.0,0.128,3,0
weighted-vote,0.07142857142857142,1.0,0.13333333333333333,4,0
weighted-vote,0.14285714285714285,0.875,0.2456140350877193,5,0
weighted-vote,0.5,0.875,0.6363636363636364,6,0
weighted-vote,0.5,0.875,0.6363636363636364,7,0
weighted-vote,0.875,0.875,0.875,8,0
weighted-vote,1.0,0.875,0.9333333333333333,9,0
naive-bayes,0.06201550387596899,1.0,0.1167883211678832,0,0
naive-bayes,0.008333333333333333,0.125,0.015625,1,0
naive-bayes,0.06201550387596899,1.0,0.1167883211678832,2,0
naive-bayes,0.06201550387596899,1.0,0.1167883211678832,3,0
naive-bayes,0.06201550387596899,1.0,0.1167883211678832,4,0
naive-bayes,0.06201550387596899,1.0,0.1167883211678832,5,0
naive-bayes,0.06201550387596899,1.0,0.1167883211678832,6,0
naive-bayes,0.009615384615384616,0.125,0.01785714285714286,7,0
naive-bayes,0.009900990099009901,0.125,0.018348623853211007,8,0
naive-bayes,0.017543859649122806,0.25,0.03278688524590164,9,0
